Date,Value
01.12.1982,63.2611
01.01.1983,63.1666
01.02.1983,63.2539
01.03.1983,63.3746
01.04.1983,63.5727
01.05.1983,63.6272
01.06.1983,63.8901
01.07.1983,63.7656
01.08.1983,63.9373
01.09.1983,64.0167
01.10.1983,64.1700
01.11.1983,64.5766
01.12.1983,64.6126
01.01.1984,64.8447
01.02.1984,65.0788
01.03.1984,65.5020
01.04.1984,65.5984
01.05.1984,65.4621
01.06.1984,65.6728
01.07.1984,65.5566
01.08.1984,65.7892
01.09.1984,65.7491
01.10.1984,66.1649
01.11.1984,66.5103
01.12.1984,66.4889
01.01.1985,67.1389
01.02.1985,67.6866
01.03.1985,68.0631
01.04.1985,67.9801
01.05.1985,67.9329
01.06.1985,67.8994
01.07.1985,67.7544
01.08.1985,67.7398
01.09.1985,67.9487
01.10.1985,68.1178
01.11.1985,68.5995
01.12.1985,68.6419
01.01.1986,68.6127
01.02.1986,68.5958
01.03.1986,68.6804
01.04.1986,68.6428
01.05.1986,68.4336
01.06.1986,68.4199
01.07.1986,68.0967
01.08.1986,68.2280
01.09.1986,68.3467
01.10.1986,68.3634
01.11.1986,68.5325
01.12.1986,68.6694
01.01.1987,69.0667
01.02.1987,69.2694
01.03.1987,69.3662
01.04.1987,69.4528
01.05.1987,69.0680
01.06.1987,69.2885
01.07.1987,69.3063
01.08.1987,69.5758
01.09.1987,69.4104
01.10.1987,69.7165
01.11.1987,69.9701
01.12.1987,69.9652
01.01.1988,70.1438
01.02.1988,70.4865
01.03.1988,70.6497
01.04.1988,70.7846
01.05.1988,70.6127
01.06.1988,70.7226
01.07.1988,70.5614
01.08.1988,70.8076
01.09.1988,70.8259
01.10.1988,70.9391
01.11.1988,71.1996
01.12.1988,71.3286
01.01.1989,71.7196
01.02.1989,72.0801
01.03.1989,72.2738
01.04.1989,72.6542
01.05.1989,72.7044
01.06.1989,72.8286
01.07.1989,72.6674
01.08.1989,72.9087
01.09.1989,73.2258
01.10.1989,73.5152
01.11.1989,74.3639
01.12.1989,74.9106
01.01.1990,75.3515
01.02.1990,75.5959
01.03.1990,75.8562
01.04.1990,76.0123
01.05.1990,76.3819
01.06.1990,76.4884
01.07.1990,76.5260
01.08.1990,77.3441
01.09.1990,77.7116
01.10.1990,78.1849
01.11.1990,78.8672
01.12.1990,78.8630
01.01.1991,79.5029
01.02.1991,80.2932
01.03.1991,80.3057
01.04.1991,80.4985
01.05.1991,81.1779
01.06.1991,81.5113
01.07.1991,81.5395
01.08.1991,81.9637
01.09.1991,82.1225
01.10.1991,82.1951
01.11.1991,83.1825
01.12.1991,82.9850
01.01.1992,83.3753
01.02.1992,83.9704
01.03.1992,84.2157
01.04.1992,84.3500
01.05.1992,84.5723
01.06.1992,84.9083
01.07.1992,84.6528
01.08.1992,84.8742
01.09.1992,84.9742
01.10.1992,85.0976
01.11.1992,85.9162
01.12.1992,85.8238
01.01.1993,86.2640
01.02.1993,86.8177
01.03.1993,87.2800
01.04.1993,87.5452
01.05.1993,87.5966
01.06.1993,87.5742
01.07.1993,87.5199
01.08.1993,87.9514
01.09.1993,87.8974
01.10.1993,87.9629
01.11.1993,87.8444
01.12.1993,87.9542
01.01.1994,88.0571
01.02.1994,88.4146
01.03.1994,88.4160
01.04.1994,88.4621
01.05.1994,87.9130
01.06.1994,88.0514
01.07.1994,88.0362
01.08.1994,88.3819
01.09.1994,88.4176
01.10.1994,88.3448
01.11.1994,88.3385
01.12.1994,88.3237
01.01.1995,88.9508
01.02.1995,89.7438
01.03.1995,89.7989
01.04.1995,89.8744
01.05.1995,89.7051
01.06.1995,89.8831
01.07.1995,89.8225
01.08.1995,90.1071
01.09.1995,90.1842
01.10.1995,90.0864
01.11.1995,90.0193
01.12.1995,90.0443
01.01.1996,90.3014
01.02.1996,90.4460
01.03.1996,90.6057
01.04.1996,90.6935
01.05.1996,90.3623
01.06.1996,90.5386
01.07.1996,90.4120
01.08.1996,90.6458
01.09.1996,90.6986
01.10.1996,90.8432
01.11.1996,90.6761
01.12.1996,90.7479
01.01.1997,91.0510
01.02.1997,91.2106
01.03.1997,91.0794
01.04.1997,91.1671
01.05.1997,90.8834
01.06.1997,90.9747
01.07.1997,90.8758
01.08.1997,91.0760
01.09.1997,91.0742
01.10.1997,91.0810
01.11.1997,91.0541
01.12.1997,91.0985
01.01.1998,91.0650
01.02.1998,91.1768
01.03.1998,91.1095
01.04.1998,91.1465
01.05.1998,90.9583
01.06.1998,91.0665
01.07.1998,90.9441
01.08.1998,91.2031
01.09.1998,91.1304
01.10.1998,91.1122
01.11.1998,90.9644
01.12.1998,90.9450
01.01.1999,91.1314
01.02.1999,91.4394
01.03.1999,91.5350
01.04.1999,91.6877
01.05.1999,91.4820
01.06.1999,91.5893
01.07.1999,91.6125
01.08.1999,92.0659
01.09.1999,92.2398
01.10.1999,92.2389
01.11.1999,92.1509
01.12.1999,92.4620
01.01.2000,92.5762
01.02.2000,92.9241
01.03.2000,92.8924
01.04.2000,92.9736
01.05.2000,92.9279
01.06.2000,93.2738
01.07.2000,93.3429
01.08.2000,93.1014
01.09.2000,93.5680
01.10.2000,93.4677
01.11.2000,93.9133
01.12.2000,93.8428
01.01.2001,93.7755
01.02.2001,93.6487
01.03.2001,93.7989
01.04.2001,94.0582
01.05.2001,94.5687
01.06.2001,94.7479
01.07.2001,94.6045
01.08.2001,94.0797
01.09.2001,94.1996
01.10.2001,94.0568
01.11.2001,94.1828
01.12.2001,94.1480
01.01.2002,94.2645
01.02.2002,94.2616
01.03.2002,94.2768
01.04.2002,95.0902
01.05.2002,95.1815
01.06.2002,95.0567
01.07.2002,94.5557
01.08.2002,94.5243
01.09.2002,94.6676
01.10.2002,95.2205
01.11.2002,95.0450
01.12.2002,94.9867
01.01.2003,95.0626
01.02.2003,95.1562
01.03.2003,95.5392
01.04.2003,95.7291
01.05.2003,95.5757
01.06.2003,95.5776
01.07.2003,94.8114
01.08.2003,95.0321
01.09.2003,95.1698
01.10.2003,95.6525
01.11.2003,95.5322
01.12.2003,95.5507
01.01.2004,95.2266
01.02.2004,95.2425
01.03.2004,95.4465
01.04.2004,96.2516
01.05.2004,96.4741
01.06.2004,96.6405
01.07.2004,95.6291
01.08.2004,95.9835
01.09.2004,95.9890
01.10.2004,96.8889
01.11.2004,96.9819
01.12.2004,96.8233
01.01.2005,96.3739
01.02.2005,96.5857
01.03.2005,96.8220
01.04.2005,97.6146
01.05.2005,97.5177
01.06.2005,97.2985
01.07.2005,96.7662
01.08.2005,96.9056
01.09.2005,97.3296
01.10.2005,98.1807
01.11.2005,97.9047
01.12.2005,97.7977
01.01.2006,97.6180
01.02.2006,97.9221
01.03.2006,97.8181
01.04.2006,98.6485
01.05.2006,98.8458
01.06.2006,98.8184
01.07.2006,98.1448
01.08.2006,98.3128
01.09.2006,98.1023
01.10.2006,98.4346
01.11.2006,98.3920
01.12.2006,98.4050
01.01.2007,97.7176
01.02.2007,97.9109
01.03.2007,97.9872
01.04.2007,99.0963
01.05.2007,99.3281
01.06.2007,99.4418
01.07.2007,98.8518
01.08.2007,98.7413
01.09.2007,98.8353
01.10.2007,99.6792
01.11.2007,100.1336
01.12.2007,100.3771
01.01.2008,100.0885
01.02.2008,100.2261
01.03.2008,100.5651
01.04.2008,101.3596
01.05.2008,102.1644
01.06.2008,102.3373
01.07.2008,101.8913
01.08.2008,101.6259
01.09.2008,101.7284
01.10.2008,102.2689
01.11.2008,101.5878
01.12.2008,101.0807
01.01.2009,100.2278
01.02.2009,100.4641
01.03.2009,100.1385
01.04.2009,101.0213
01.05.2009,101.1824
01.06.2009,101.3640
01.07.2009,100.6913
01.08.2009,100.8028
01.09.2009,100.7899
01.10.2009,101.4163
01.11.2009,101.6121
01.12.2009,101.3664
01.01.2010,101.2538
01.02.2010,101.4012
01.03.2010,101.5402
01.04.2010,102.4080
01.05.2010,102.3023
01.06.2010,101.8569
01.07.2010,101.1127
01.08.2010,101.0986
01.09.2010,101.0752
01.10.2010,101.6130
01.11.2010,101.8570
01.12.2010,101.8931
01.01.2011,101.5358
01.02.2011,101.9185
01.03.2011,102.5599
01.04.2011,102.6731
01.05.2011,102.6798
01.06.2011,102.4317
01.07.2011,101.5900
01.08.2011,101.2930
01.09.2011,101.5662
01.10.2011,101.4987
01.11.2011,101.3215
01.12.2011,101.1649
01.01.2012,100.7342
01.02.2012,101.0180
01.03.2012,101.5812
01.04.2012,101.6571
01.05.2012,101.6390
01.06.2012,101.3523
01.07.2012,100.8645
01.08.2012,100.8341
01.09.2012,101.1483
01.10.2012,101.2732
01.11.2012,100.9412
01.12.2012,100.7254
01.01.2013,100.4625
01.02.2013,100.7593
01.03.2013,100.9782
01.04.2013,101.0122
01.05.2013,101.1233
01.06.2013,101.2227
01.07.2013,100.8617
01.08.2013,100.7891
01.09.2013,101.0923
01.10.2013,101.0147
01.11.2013,101.0217
01.12.2013,100.7930
01.01.2014,100.5172
01.02.2014,100.6171
01.03.2014,100.9810
01.04.2014,101.0506
01.05.2014,101.3466
01.06.2014,101.2729
01.07.2014,100.8939
01.08.2014,100.8614
01.09.2014,101.0037
01.10.2014,101.0019
01.11.2014,100.9625
01.12.2014,100.4620
01.01.2015,100.0294
01.02.2015,99.7723
01.03.2015,100.0978
01.04.2015,99.9162
01.05.2015,100.1488
01.06.2015,100.2224
01.07.2015,99.6065
01.08.2015,99.4468
01.09.2015,99.5456
01.10.2015,99.6284
01.11.2015,99.5566
01.12.2015,99.1476
01.01.2016,98.7624
01.02.2016,98.9457
01.03.2016,99.2362
01.04.2016,99.5645
01.05.2016,99.7082
01.06.2016,99.8475
01.07.2016,99.4044
01.08.2016,99.3045
01.09.2016,99.3649
01.10.2016,99.4164
01.11.2016,99.2199
01.12.2016,99.1409
01.01.2017,99.1070
01.02.2017,99.5849
01.03.2017,99.7997
01.04.2017,100.0004
01.05.2017,100.1862
01.06.2017,100.0444
01.07.2017,99.7317
01.08.2017,99.7640
01.09.2017,100.0128
01.10.2017,100.0735
01.11.2017,100.0008
01.12.2017,99.9724
01.01.2018,99.8406
01.02.2018,100.2104
01.03.2018,100.5935
01.04.2018,100.8036
01.05.2018,101.1873
01.06.2018,101.1915
01.07.2018,100.9587
01.08.2018,100.9423
01.09.2018,101.0024
01.10.2018,101.1809
01.11.2018,100.9228
01.12.2018,100.6637
01.01.2019,100.3998
01.02.2019,100.7902
01.03.2019,101.3269
01.04.2019,101.5173
01.05.2019,101.8291
01.06.2019,101.7989
01.07.2019,101.2735
01.08.2019,101.2632
01.09.2019,101.1522
01.10.2019,100.9248
01.11.2019,100.7904
01.12.2019,100.8205
01.01.2020,100.6029
01.02.2020,100.7275
01.03.2020,100.8049
01.04.2020,100.4382
01.05.2020,100.4803
01.06.2020,100.5012
01.07.2020,100.3419
01.08.2020,100.3861
01.09.2020,100.3431
01.10.2020,100.3492
01.11.2020,100.1002
01.12.2020,100.0000
01.01.2021, 	100.0553 
01.02.2021,100.2198
01.03.2021,100.5577
01.04.2021,100.7675
01.05.2021,101.0339
01.06.2021,101.1087
01.07.2021,101.0230
01.08.2021,101.2711
01.09.2021,101.2887
01.10.2021,101.5954
01.11.2021,101.6346
01.12.2021,101.5311
01.01.2022,101.7050
01.02.2022,102.3754
01.03.2022,102.9572
01.04.2022,103.3351
01.05.2022,104.0068
01.06.2022,104.5312
01.07.2022,104.4916
01.08.2022,104.7671
01.09.2022,104.5831
01.10.2022,104.6392
01.11.2022,104.6432
01.12.2022,104.4149
01.01.2023,105.0435
01.02.2023,105.8273
01.03.2023,105.9896
01.04.2023,105.9860
01.05.2023,106.2520
01.06.2023,106.3196
01.07.2023,106.1688
01.08.2023,106.3955
01.09.2023,106.3136
01.10.2023,106.4112
01.11.2023,106.1539
01.12.2023,106.2055
01.01.2024,106.3866
01.02.2024,107.0638
01.03.2024,107.0971
01.04.2024,107.4357
01.05.2024,107.7290
01.06.2024,107.7316
01.07.2024,107.5390
01.08.2024,107.5237
01.09.2024,107.2098
01.10.2024,107.0741
